accommodates,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
4,1.0,1.0,1.0,$215.00,$65.00,$200.00,2,5,0
5,2.0,2.0,2.0,$319.00,$150.00,,4,365,10
2,,1.0,1.0,$155.00,$150.00,,3,1125,6
3,1.0,1.0,1.0,$209.00,$150.00,,5,730,3
2,1.0,1.0,1.0,$249.00,,,4,730,0
4,2.0,2.0,2.0,$329.00,,,4,365,0
2,0.0,1.0,1.0,$99.00,$55.00,,1,1125,6
5,2.0,2.0,3.0,$324.00,$100.00,,3,1125,2
4,2.0,1.0,2.0,$168.00,,,2,29,0
4,2.0,1.5,2.0,$215.00,$50.00,$100.00,2,1125,2
2,0.0,1.0,1.0,$159.00,$150.00,,3,365,9
5,2.0,2.0,2.0,$629.00,$100.00,,3,1125,0
5,2.0,2.0,2.0,$629.00,$100.00,,3,1125,0
2,1.0,1.5,1.0,$89.00,,,2,1125,1
1,1.0,1.0,1.0,$36.00,,,1,1125,30
2,0.0,1.0,1.0,$100.00,,,1,1125,0
2,1.0,1.0,1.0,$115.00,,,1,5,10
2,,1.0,1.0,$239.00,,,7,365,1
1,1.0,1.0,1.0,$100.00,,,1,10,0
3,1.0,1.0,1.0,$189.00,$150.00,,5,730,0
2,0.0,1.0,1.0,$159.00,$150.00,,3,1125,2
1,1.0,1.0,1.0,$100.00,,,1,1125,0
1,1.0,1.0,1.0,$100.00,$10.00,,1,1125,28
2,1.0,1.0,1.0,$160.00,$120.00,$600.00,3,1000,6
2,1.0,1.5,1.0,$130.00,,,1,1125,0
4,1.0,1.0,2.0,$125.00,$45.00,$500.00,2,1125,24
3,0.0,1.0,2.0,$115.00,$60.00,,2,1125,63
4,1.0,1.0,2.0,$189.00,,,3,14,6
4,1.0,1.0,2.0,$140.00,$50.00,$500.00,1,1125,0
4,1.0,1.0,2.0,"$1,000.00",,,2,5,0
3,1.0,1.0,2.0,$165.00,,,1,1125,19
2,0.0,1.0,1.0,$115.00,$30.00,$300.00,2,26,4
3,1.0,,1.0,$249.00,,,3,365,1
2,1.0,1.0,1.0,$132.00,$95.00,$400.00,3,1125,1
2,1.0,1.0,1.0,$189.00,,,1,1125,10
1,1.0,1.0,1.0,$79.00,,,1,1125,0
2,1.0,1.0,1.0,$239.00,$150.00,,3,365,1
2,1.0,1.0,1.0,$150.00,$100.00,$500.00,7,1000,3
3,0.0,1.0,2.0,$96.00,$10.00,,3,50,6
2,1.0,1.0,1.0,$139.00,$40.00,$150.00,4,45,6
2,0.0,1.0,1.0,$99.00,$35.00,,2,15,21
1,1.0,1.0,1.0,$56.00,$15.00,,1,1125,0
3,,1.0,1.0,$219.00,,,4,1125,0
2,1.0,1.0,1.0,$295.00,$100.00,,25,1825,0
1,0.0,1.0,1.0,$100.00,$80.00,$500.00,6,1000,6
3,0.0,1.0,1.0,$229.00,$50.00,,2,1125,0
6,2.0,2.0,3.0,$300.00,$150.00,$150.00,1,1125,8
2,0.0,1.0,1.0,$120.00,$60.00,,1,1125,6
2,0.0,1.0,1.0,$105.00,$25.00,,3,1125,10
2,0.0,1.0,1.0,$108.00,$12.00,,2,1125,6
4,0.0,1.0,2.0,$118.00,$25.00,,1,1125,5
6,3.0,2.0,3.0,$310.00,$150.00,$150.00,1,1125,18
4,1.0,1.0,1.0,$100.00,$50.00,,1,1125,12
6,2.0,2.0,2.0,$188.00,$175.00,$200.00,1,9999999,3
1,1.0,1.0,1.0,$65.00,,,7,1125,0
4,0.0,1.0,2.0,$116.00,$45.00,$200.00,1,3,25
3,1.0,1.0,1.0,$149.00,$40.00,,1,1125,1
2,1.0,1.0,1.0,$150.00,$30.00,$300.00,2,1125,9
2,1.0,1.0,1.0,$70.00,$25.00,$150.00,1,1125,0
2,1.0,1.0,1.0,$130.00,$35.00,$150.00,5,10,2
1,0.0,1.0,1.0,$95.00,$50.00,,5,600,21
3,0.0,1.0,2.0,$165.00,$60.00,,7,18,0
2,1.0,1.0,1.0,$155.00,$150.00,,4,1125,4
5,2.0,2.0,3.0,$324.00,$100.00,,3,1125,5
2,0.0,1.0,1.0,$150.00,$40.00,,2,1125,52
2,1.0,1.0,1.0,$109.00,$30.00,,2,1125,0
2,1.0,1.0,1.0,$110.00,,,2,7,0
5,2.0,2.0,3.0,$324.00,$100.00,,3,1125,0
2,1.0,1.0,1.0,$60.00,$5.00,,2,1125,10
2,0.0,1.0,1.0,$160.00,$50.00,$200.00,3,1125,11
3,0.0,1.0,2.0,$95.00,$30.00,,1,1125,3
3,0.0,1.0,1.0,$128.00,$50.00,,2,1125,2
1,1.0,1.0,1.0,$50.00,$50.00,$250.00,1,365,2
6,3.0,2.5,6.0,$75.00,,$150.00,7,7,0
2,1.0,1.0,1.0,$135.00,$65.00,,3,1125,1
3,1.0,1.0,1.0,$249.00,,,4,365,0
2,1.0,1.0,1.0,$120.00,$50.00,,1,10,0
5,1.0,1.0,1.0,$179.00,$100.00,,3,12,13
1,1.0,1.0,1.0,$53.00,$15.00,,1,1125,1
2,0.0,1.0,1.0,$115.00,$50.00,,1,1125,63
1,1.0,1.0,1.0,$70.00,$25.00,,7,1125,0
4,1.0,1.0,2.0,$159.00,$75.00,$200.00,4,365,33
2,1.0,1.0,1.0,$209.00,$150.00,,4,730,2
3,1.0,1.0,2.0,$50.00,$50.00,,2,1125,3
2,1.0,1.0,1.0,$175.00,,,1,30,1
3,1.0,1.0,2.0,$130.00,$15.00,$200.00,1,1125,14
9,5.0,2.5,5.0,$329.00,$185.00,$175.00,3,1125,0
1,1.0,1.0,1.0,$64.00,,,1,1125,4
2,1.0,1.0,1.0,$70.00,$25.00,,1,1125,2
2,1.0,1.0,1.0,$80.00,,,3,730,77
5,3.0,2.0,3.0,$800.00,,,1,1125,0
4,1.0,1.0,1.0,$41.00,$20.00,,1,1125,1
2,1.0,1.0,1.0,$55.00,$50.00,$100.00,2,1365,0
4,1.0,1.0,1.0,$65.00,$90.00,$100.00,1,1095,1
3,1.0,1.0,1.0,$42.00,$20.00,,1,1125,3
6,1.0,2.5,4.0,$60.00,$40.00,$100.00,1,1125,0
2,1.0,1.0,1.0,$39.00,$35.00,,2,1125,0
6,2.0,2.0,2.0,$300.00,,,2,1125,2
2,1.0,1.0,1.0,$100.00,,,2,1125,0
